package,phase,title,dependencies,ui_refs,file
P045,04-library-explorer,Account-Detailseite,P038;P040;P041,UI-015,04-library-explorer/P045_account-detailseite.md
P046,04-library-explorer,Stories- und Highlights-Browser,P015;P016;P040;P041,UI-016;UI-017,04-library-explorer/P046_stories-und-highlights-browser.md
P047,04-library-explorer,"Gespeichert, Favoriten und lokale Collections",P017;P041,UI-018;UI-026;UI-027,04-library-explorer/P047_gespeichert-favoriten-und-lokale-collections.md
P048,04-library-explorer,Duplikaterkennung und Zusammenführen,P024;P040,UI-023;UI-051;UI-053,04-library-explorer/P048_duplikaterkennung-und-zusammenf-hren.md
P049,04-library-explorer,"Fehlende Dateien, Reindex und Reparatur",P024;P040;P048,UI-024;UI-034;UI-067,04-library-explorer/P049_fehlende-dateien-reindex-und-reparatur.md
P050,05-storage-settings,Speicherplatzschutz und Storage Health,P007;P024;P049,UI-035;UI-042;UI-072,05-storage-settings/P050_speicherplatzschutz-und-storage-health.md
P051,05-storage-settings,Multi-Drive Regeln und Archiv-Migration,P050;P022;P049,UI-010;UI-043;UI-070;UI-071,05-storage-settings/P051_multi-drive-regeln-und-archiv-migration.md
P052,05-storage-settings,"Backup, Restore, Export und Archiv-Rekonstruktion",P006;P007;P021;P049,UI-033;UI-068;UI-069;UI-092,05-storage-settings/P052_backup-restore-export-und-archiv-rekonstruktion.md
P053,05-storage-settings,Account-spezifische Einstellungen und Presets,P007;P045,UI-036;UI-037,05-storage-settings/P053_account-spezifische-einstellungen-und-presets.md
P054,05-storage-settings,"Bandbreite, Parallelität und Benachrichtigungen",P029;P030;P007,UI-038;UI-039,05-storage-settings/P054_bandbreite-parallelit-t-und-benachrichtigungen.md
P055,06-advanced-v1x,"Kalender, Timeline und Statistik-Dashboard",P040;P044;P033,UI-030;UI-050,06-advanced-v1x/P055_kalender-timeline-und-statistik-dashboard.md
P056,06-advanced-v1x,"Smart Collections, Tags und Bewertungen",P044;P047,UI-045;UI-063;UI-064,06-advanced-v1x/P056_smart-collections-tags-und-bewertungen.md
P057,06-advanced-v1x,"Watch Folders, mehrere Archive und Archivvergleich",P040;P049;P051,UI-044;UI-065;UI-066,06-advanced-v1x/P057_watch-folders-mehrere-archive-und-archivvergleich.md
P058,06-advanced-v1x,Geplante automatische Synchronisierung,P036;P053;P054,UI-061;UI-062,06-advanced-v1x/P058_geplante-automatische-synchronisierung.md
P059,06-advanced-v1x,Erweiterte Medienanalyse und Thumbnail-Cache-Verwaltung,P024;P040,UI-074;UI-075,06-advanced-v1x/P059_erweiterte-medienanalyse-und-thumbnail-cache-verwaltung.md
P060,06-advanced-v1x,"Source SDK, Adapter Registry, Capability UI und Importer",P002;P008;P040;P057,UI-060;UI-093;UI-094;UI-095;UI-104;UI-115,06-advanced-v1x/P060_erweiterbare-source-adapter-architektur-und-import-externer-archive.md
P061,07-extension-release,"In-Instagram Download Controls für Post, Reel, Story und Profil",P012;P013;P014;P015;P034;P005,UI-019;UI-020;UI-081;UI-082;UI-083,07-extension-release/P061_in-instagram-download-controls-f-r-post-reel-story-und-profil.md
P062,07-extension-release,"Extension ↔ Desktop Status, Toasts und Fehler-UX",P005;P030;P031;P061,UI-084;UI-086,07-extension-release/P062_extension-desktop-status-toasts-und-fehler-ux.md
P063,07-extension-release,"Onboarding, Empty States und kritische Dialoge",P003;P005;P007;P050,UI-054,07-extension-release/P063_onboarding-empty-states-und-kritische-dialoge.md
P064,07-extension-release,Performance- und Lasttests für große Archive,P028;P040;P041;P055,,07-extension-release/P064_performance-und-lasttests-f-r-gro-e-archive.md
P065,07-extension-release,Security- und Privacy-Hardening,P005;P007;P008;P011;P052;P061,,07-extension-release/P065_security-und-privacy-hardening.md
P066,07-extension-release,"Packaging, Updates und plattformübergreifende Builds",P010;P063;P065,UI-055,07-extension-release/P066_packaging-updates-und-plattform-bergreifende-builds.md
P067,07-extension-release,v1.0 Release Gate und End-to-End Abnahme,P001;P010;P024;P027;P031;P035;P037;P041;P050;P061;P065;P066,,07-extension-release/P067_v1-0-release-gate-und-end-to-end-abnahme.md
P068,08-roadmap,v1.x Roadmap-Integration und technische Schulden,P055;P056;P057;P058;P059;P060;P067,,08-roadmap/P068_v1-x-roadmap-integration-und-technische-schulden.md
P069,08-roadmap,Geo-/EXIF-Kartenansicht als optionales lokales Feature,P055;P059,UI-047,08-roadmap/P069_geo-exif-kartenansicht-als-optionales-lokales-feature.md
P070,08-roadmap,Organisation Rules Engine,P056;P060,UI-059,08-roadmap/P070_organisation-rules-engine.md
P071,09-multisource-roadmap,Cross-Source Deduplizierung und PhysicalBlob Sharing,P024;P048;P060,UI-105;UI-106,09-multisource-roadmap/P071_cross-source-deduplizierung-und-physicalblob-sharing.md
P072,09-multisource-roadmap,ArchiveIdentity und plattformübergreifender Content Graph,P038;P060;P071,UI-096;UI-110,09-multisource-roadmap/P072_archiveidentity-und-plattformuebergreifender-content-graph.md
P073,09-multisource-roadmap,"Source Manager, Adapter Health und Capability Inspector",P060;P008,UI-094;UI-095;UI-104;UI-122,09-multisource-roadmap/P073_source-manager-adapter-health-und-capability-inspector.md
P074,09-multisource-roadmap,Portables ArchiveFlow Format sowie Import und Export,P052;P060,UI-115;UI-116,09-multisource-roadmap/P074_portables-archiveflow-format-sowie-import-und-export.md
P075,09-multisource-roadmap,Source Worker Isolation und Adapter Sandbox Vorbereitung,P005;P060;P065,UI-093;UI-104,09-multisource-roadmap/P075_source-worker-isolation-und-adapter-sandbox-vorbereitung.md
P076,09-multisource-roadmap,Command Palette und Saved Views,P044;P056;P060,UI-119;UI-120,09-multisource-roadmap/P076_command-palette-und-saved-views.md
P077,09-multisource-roadmap,Audit Log und Provenance Browser,P008;P033;P060,UI-107;UI-121,09-multisource-roadmap/P077_audit-log-und-provenance-browser.md
P078,09-multisource-roadmap,Source-neutraler Suchindex und Unified Library,P044;P060;P072,UI-097;UI-098,09-multisource-roadmap/P078_source-neutraler-suchindex-und-unified-library.md
P079,09-multisource-roadmap,Feature Flags und capability-basierte UI Slots,P003;P060;P073,UI-095;UI-096,09-multisource-roadmap/P079_feature-flags-und-capability-basierte-ui-slots.md
P080,09-multisource-roadmap,Second-Source Conformance Proof ohne Core-Umschreibung,P071;P072;P073;P075;P078;P079,UI-093;UI-094;UI-095;UI-097;UI-100,09-multisource-roadmap/P080_second-source-conformance-proof-ohne-core-umschreibung.md
